subj,age,sex,phase,block,trial,cue,resp,out,numResp,RT,AOI_cue_p1,AOI_cue_p2,AOI_resp_p1,AOI_resp_p2,AOI_out_p1,AOI_out_p2,tOutFix,nFix_p1,nFix_p2,samples_p1,samples_p2,raw_NA_p1,raw_NA_p2,post_interp_NA_p1,post_interp_NA_p2,ICU,ICU_medSplit
P102_Exp3,18,F,2,11,44,8,4,12,1,839.709889966343,174,0,394,583,0,0,NA,8,2,252,251,0,63,0,55,18,Low
P102_Exp3,18,F,2,12,45,5,1,9,1,1563.44791071751,250,0,843,440,0,0,NA,10,4,469,250,87,52,87,50,18,Low
P102_Exp3,18,F,2,12,46,8,4,12,1,1262.89418174019,294,0,654,570,0,0,NA,5,3,378,250,43,50,43,45,18,Low
P102_Exp3,18,F,2,12,47,7,3,11,1,451.310246400681,235,0,147,776,0,0,NA,6,2,135,249,0,0,0,0,18,Low
P102_Exp3,18,F,2,12,48,6,2,10,1,275.578270061942,223,67,0,184,0,370,443,5,3,83,245,0,34,0,32,18,Low
P102_Exp3,18,F,3,13,49,9,1,13,4,3365.69838554078,160,200,2771,297,0,0,NA,9,3,1010,250,52,66,39,61,18,Low
P102_Exp3,18,F,3,13,50,12,4,16,3,2487.37809450085,130,117,1791,260,0,0,NA,11,5,746,249,109,59,109,59,18,Low
P102_Exp3,18,F,3,13,51,10,2,14,2,2003.09736864028,138,0,1437,460,0,0,NA,8,3,601,249,63,75,63,75,18,Low
P102_Exp3,18,F,3,13,52,11,3,15,1,1413.09678907237,254,0,897,247,0,0,NA,8,3,424,249,32,151,32,151,18,Low
P102_Exp3,18,F,3,14,53,12,4,16,1,1301.46111520935,90,187,780,167,0,0,NA,9,5,390,253,35,84,35,84,18,Low
P102_Exp3,18,F,3,14,54,10,2,14,1,1048.9019600268,244,0,587,480,0,0,NA,13,2,315,253,0,55,0,50,18,Low
P102_Exp3,18,F,3,14,55,11,3,15,1,728.389959949254,236,0,380,501,0,0,NA,9,3,219,249,0,64,0,64,18,Low
P102_Exp3,18,F,3,14,56,9,1,13,1,283.289845605395,37,27,167,190,0,0,NA,2,3,85,250,0,39,0,31,18,Low
P102_Exp3,18,F,3,15,57,11,3,15,2,1928.47979299722,216,0,1020,97,104,503,293,7,3,579,250,98,35,98,30,18,Low
P102_Exp3,18,F,3,15,58,12,4,16,1,1203.19867230637,58,143,658,181,0,43,350,10,4,361,252,51,76,46,46,18,Low
P102_Exp3,18,F,3,15,59,9,1,13,2,1676.76795423358,180,0,1150,334,0,0,NA,5,3,503,245,61,117,42,89,18,Low
P102_Exp3,18,F,3,15,60,10,2,14,1,835.187448004945,130,0,476,523,0,0,NA,5,5,251,252,0,76,0,71,18,Low
P102_Exp3,18,F,3,16,61,11,3,15,1,821.534998061907,127,67,548,537,0,0,NA,5,4,247,252,9,44,0,37,18,Low
P102_Exp3,18,F,3,16,62,12,4,16,1,1181.47422793663,296,0,386,574,0,0,NA,8,4,355,254,95,41,95,41,18,Low
P102_Exp3,18,F,3,16,63,10,2,14,1,1028.57662915994,261,0,496,542,0,0,NA,8,2,308,250,0,56,0,51,18,Low
P102_Exp3,18,F,3,16,64,9,1,13,1,333.450554996489,297,0,0,470,0,0,NA,3,3,100,250,0,68,0,63,18,Low
P102_Exp3,18,F,3,17,65,12,4,16,4,3864.35964371049,670,113,1988,303,0,0,NA,15,4,1159,250,174,90,150,71,18,Low
P102_Exp3,18,F,3,17,66,11,3,15,1,1007.5084248665,127,123,723,439,0,0,NA,4,5,303,251,12,25,0,0,18,Low
P102_Exp3,18,F,3,17,67,10,2,14,1,727.010769098797,0,0,473,513,0,0,NA,2,2,218,250,59,73,59,73,18,Low
P102_Exp3,18,F,3,17,68,9,1,13,1,891.812454192859,37,92,437,366,0,0,NA,6,4,267,251,56,64,51,63,18,Low
P102_Exp3,18,F,3,18,69,12,4,16,1,1217.6441041629,183,0,483,293,0,0,NA,10,2,365,253,80,79,80,79,18,Low
P102_Exp3,18,F,3,18,70,10,2,14,1,1761.46790098574,147,260,971,87,0,0,NA,14,3,529,250,111,117,99,113,18,Low
P102_Exp3,18,F,3,18,71,9,1,13,1,1476.90028893885,423,0,732,733,0,0,NA,7,5,444,250,52,0,47,0,18,Low
P102_Exp3,18,F,3,18,72,11,3,15,1,1865.73913641951,359,0,950,614,0,0,NA,9,4,559,254,101,0,99,0,18,Low
