Experiment,subj,ICU_medSplit,ICU,phase_1,phase_2,phase_3
Exp6,P120_Exp6,High,23,NA,NA,402.1818181818182
Exp6,P121_Exp6,High,24,287.6842105263158,NA,NA
Exp6,P121_Exp6,High,24,NA,271.46153846153845,NA
Exp6,P121_Exp6,High,24,NA,NA,237.5
Exp6,P122_Exp6,High,25,291.63157894736844,NA,NA
Exp6,P122_Exp6,High,25,NA,165.11111111111111,NA
Exp6,P122_Exp6,High,25,NA,NA,110.85714285714286
Exp6,P123_Exp6,Low,10,344.64285714285717,NA,NA
Exp6,P123_Exp6,Low,10,NA,401.25,NA
Exp6,P123_Exp6,Low,10,NA,NA,476.90909090909093
Exp6,P124_Exp6,High,30,279.64285714285717,NA,NA
Exp6,P124_Exp6,High,30,NA,350.2352941176471,NA
Exp6,P124_Exp6,High,30,NA,NA,395.6666666666667
Exp6,P125_Exp6,Low,8,264.85714285714283,NA,NA
Exp6,P125_Exp6,Low,8,NA,350.3157894736842,NA
Exp6,P125_Exp6,Low,8,NA,NA,269.8095238095238
Exp6,P126_Exp6,High,40,270.125,NA,NA
Exp6,P126_Exp6,High,40,NA,258.77272727272725,NA
Exp6,P126_Exp6,High,40,NA,NA,288.14285714285717
Exp6,P127_Exp6,High,23,376.2142857142857,NA,NA
Exp6,P127_Exp6,High,23,NA,311.5,NA
Exp6,P127_Exp6,High,23,NA,NA,402.2
Exp6,P128_Exp6,Low,18,219.2,NA,NA
Exp6,P128_Exp6,Low,18,NA,73.16666666666667,NA
Exp6,P128_Exp6,Low,18,NA,NA,85.08333333333333
Exp6,P129_Exp6,High,32,299.53333333333336,NA,NA
Exp6,P129_Exp6,High,32,NA,344,NA
Exp6,P129_Exp6,High,32,NA,NA,541
Exp6,P130_Exp6,High,32,300.11764705882354,NA,NA
Exp6,P130_Exp6,High,32,NA,232.77272727272728,NA
Exp6,P130_Exp6,High,32,NA,NA,212.3913043478261
Exp6,P131_Exp6,High,26,253.0952380952381,NA,NA
Exp6,P131_Exp6,High,26,NA,266.5238095238095,NA
Exp6,P131_Exp6,High,26,NA,NA,228.2173913043478
Exp6,P132_Exp6,Low,17,362,NA,NA
Exp6,P132_Exp6,Low,17,NA,300.47058823529414,NA
Exp6,P132_Exp6,Low,17,NA,NA,247.21052631578948
Exp6,P133_Exp6,High,24,263.3157894736842,NA,NA
Exp6,P133_Exp6,High,24,NA,127.47058823529412,NA
Exp6,P133_Exp6,High,24,NA,NA,116.28571428571429
Exp6,P134_Exp6,High,30,302.3181818181818,NA,NA
Exp6,P134_Exp6,High,30,NA,214.04545454545453,NA
Exp6,P134_Exp6,High,30,NA,NA,353
Exp6,P135_Exp6,Low,14,312.88235294117646,NA,NA
Exp6,P135_Exp6,Low,14,NA,308.6666666666667,NA
Exp6,P135_Exp6,Low,14,NA,NA,344.0625
Exp6,P136_Exp6,High,30,290.53846153846155,NA,NA
Exp6,P136_Exp6,High,30,NA,347.8666666666667,NA
Exp6,P136_Exp6,High,30,NA,NA,306.5625
Exp6,P137_Exp6,High,29,252,NA,NA
Exp6,P137_Exp6,High,29,NA,234.86666666666667,NA
Exp6,P137_Exp6,High,29,NA,NA,269.95238095238096
Exp6,P138_Exp6,High,30,457.375,NA,NA
Exp6,P138_Exp6,High,30,NA,501.75,NA
Exp6,P138_Exp6,High,30,NA,NA,348.6666666666667
Exp6,P139_Exp6,High,28,249.9090909090909,NA,NA
Exp6,P139_Exp6,High,28,NA,235.9375,NA
Exp6,P139_Exp6,High,28,NA,NA,226.5625
Exp6,P140_Exp6,Low,18,381.4117647058824,NA,NA
Exp6,P140_Exp6,Low,18,NA,299.26666666666665,NA
Exp6,P140_Exp6,Low,18,NA,NA,301.4375
Exp6,P141_Exp6,High,24,235.8125,NA,NA
Exp6,P141_Exp6,High,24,NA,251.23529411764707,NA
Exp6,P141_Exp6,High,24,NA,NA,268.3076923076923
Exp6,P142_Exp6,Low,14,256.36842105263156,NA,NA
Exp6,P142_Exp6,Low,14,NA,311.42857142857144,NA
Exp6,P142_Exp6,Low,14,NA,NA,287.8666666666667
Exp6,P143_Exp6,Low,20,278.05263157894734,NA,NA
Exp6,P143_Exp6,Low,20,NA,228.47058823529412,NA
Exp6,P143_Exp6,Low,20,NA,NA,203.05555555555554
Exp6,P144_Exp6,Low,14,256.36842105263156,NA,NA
Exp6,P144_Exp6,Low,14,NA,311.42857142857144,NA
Exp6,P144_Exp6,Low,14,NA,NA,287.8666666666667
Exp6,P145_Exp6,Low,22,150.9,NA,NA
Exp6,P145_Exp6,Low,22,NA,87.2,NA
Exp6,P145_Exp6,Low,22,NA,NA,164.77777777777777
Exp6,P146_Exp6,Low,18,255.1578947368421,NA,NA
Exp6,P146_Exp6,Low,18,NA,228.45454545454547,NA
Exp6,P146_Exp6,Low,18,NA,NA,261.75
Exp6,P147_Exp6,High,24,250.23529411764707,NA,NA
Exp6,P147_Exp6,High,24,NA,258.15,NA
Exp6,P147_Exp6,High,24,NA,NA,222.375
Exp6,P148_Exp6,Low,19,362.2307692307692,NA,NA
Exp6,P148_Exp6,Low,19,NA,342.0625,NA
Exp6,P148_Exp6,Low,19,NA,NA,274.94117647058823
Exp6,P149_Exp6,High,33,539,NA,NA
Exp6,P149_Exp6,High,33,NA,500.75,NA
Exp6,P149_Exp6,High,33,NA,NA,451.5
Exp6,P150_Exp6,High,23,368,NA,NA
Exp6,P150_Exp6,High,23,NA,398.5,NA
Exp6,P150_Exp6,High,23,NA,NA,355.27777777777777
Exp6,P151_Exp6,Low,21,322.55555555555554,NA,NA
Exp6,P151_Exp6,Low,21,NA,225.91666666666666,NA
Exp6,P151_Exp6,Low,21,NA,NA,276.3157894736842
Exp6,P152_Exp6,Low,19,249.0952380952381,NA,NA
Exp6,P152_Exp6,Low,19,NA,228.86666666666667,NA
Exp6,P152_Exp6,Low,19,NA,NA,190.57142857142858
Exp6,P153_Exp6,Low,12,422,NA,NA
Exp6,P153_Exp6,Low,12,NA,338.8,NA
Exp6,P153_Exp6,Low,12,NA,NA,328.42857142857144
Exp6,P154_Exp6,High,24,160.1818181818182,NA,NA
Exp6,P154_Exp6,High,24,NA,223.9,NA
Exp6,P154_Exp6,High,24,NA,NA,75.5
Exp6,P155_Exp6,High,30,295.75,NA,NA
Exp6,P155_Exp6,High,30,NA,246.15,NA
Exp6,P155_Exp6,High,30,NA,NA,274.3
Exp7,P1048_Exp7,Low,18,254.125,235.33333333333334,334.125
Exp7,P1049_Exp7,Low,22,244.3125,228.77777777777777,168.21052631578948
Exp7,P1101_Exp7,High,24,278.4,240.13636363636363,240.95833333333334
Exp7,P1104_Exp7,High,25,246.82608695652175,290.8333333333333,313.29411764705884
Exp7,P1133_Exp7,High,28,185.8181818181818,181.5,137.5
Exp7,P1155_Exp7,Low,17,239.54166666666666,287.11764705882354,320.11764705882354
Exp7,P1156_Exp7,High,25,282.5833333333333,325.77777777777777,284.14285714285717
Exp7,P1173_Exp7,Low,18,256.3888888888889,254.47058823529412,159.04347826086956
Exp7,P1286_Exp7,High,31,251.78571428571428,310.7142857142857,430.6666666666667
Exp7,P1418_Exp7,High,27,246.8095238095238,271.7,337.5
Exp7,P1472_Exp7,High,23,365.1818181818182,269.0952380952381,322.7391304347826
Exp7,P1524_Exp7,High,30,208.26315789473685,179.5,137.9090909090909
Exp7,P1606_Exp7,High,25,257.25,342.6666666666667,358.3333333333333
Exp7,P1613_Exp7,Low,19,207.85,130.25,63.30434782608695
Exp7,P1621_Exp7,High,24,217.5,298.22222222222223,306.72727272727275
Exp7,P1639_Exp7,Low,21,279,280.61538461538464,328.53846153846155
Exp7,P1658_Exp7,Low,14,279.88235294117646,313.5,351.77777777777777
Exp7,P1738_Exp7,Low,15,290.35714285714283,383.4166666666667,370.6
Exp7,P1783_Exp7,High,26,257.22222222222223,266,307.8333333333333
Exp7,P1784_Exp7,High,34,280.05555555555554,255.9090909090909,380.5833333333333
Exp7,P1796_Exp7,Low,8,233.33333333333334,247,328.3
