Experiment,subj,condition,age,sex,phase,block,trial,cue,resp,out,numResp,RT,AOI_cue_p1,AOI_cue_p2,AOI_resp_p1,AOI_resp_p2,AOI_out_p1,AOI_out_p2,tOutFix,nFix_p1,nFix_p2,samples_p1,samples_p2,raw_NA_p1,raw_NA_p2,post_interp_NA_p1,post_interp_NA_p2,ICU,ICU_medSplit,AOI_cue_p2_1s,AOI_resp_p2_1s,AOI_out_p2_1s,tOutFix_1s,ICU_Exp_medSplit
Exp3,P102_Exp3,NA,18,F,1,1,1,1,1,5,1,1736.94522961159,401,130,955,213,0,313,247,12,5,521,253,30,0,30,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,1,2,2,2,6,1,5614.93679689647,517,217,1797,194,190,313,227,27,4,1685,249,650,0,633,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,1,3,4,4,8,2,5686.01749812524,811,190,2102,173,0,306,220,20,6,1706,248,414,0,398,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,1,4,3,3,7,2,4540.414004779,193,203,2114,210,157,230,246,16,6,1362,246,259,0,252,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,2,5,1,1,5,1,2795.30592137417,699,0,1006,369,0,330,150,22,6,839,250,135,0,98,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,2,6,2,2,6,1,1260.23933745728,237,0,675,327,0,380,203,11,4,378,250,37,0,35,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,2,7,4,4,8,2,5122.88623682844,1585,0,2166,553,0,190,230,29,3,1537,247,242,0,233,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,2,8,3,3,7,1,756.889917085573,236,0,323,133,0,540,297,6,2,227,252,18,33,0,30,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,3,9,2,2,6,2,2313.5291106164,136,0,1589,396,150,300,214,13,4,694,246,52,0,47,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,3,10,1,1,5,3,3510.67008933796,51,50,2341,363,66,110,343,14,4,1053,247,175,29,136,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,3,11,4,4,8,2,2147.54927234026,0,0,1413,527,0,0,NA,8,5,645,249,104,57,102,39,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,3,12,3,3,7,1,1197.62365024008,0,0,741,461,0,0,NA,7,4,359,249,65,76,52,76,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,4,13,2,2,6,1,1478.3081563337,193,0,957,780,0,0,NA,3,2,444,249,64,7,63,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,4,14,1,1,5,1,268.044187234409,0,0,217,740,0,0,NA,2,3,81,249,0,0,0,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,4,15,3,3,7,2,1346.62697430485,67,47,918,466,0,0,NA,9,5,404,247,41,0,41,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,4,16,4,4,8,1,303.41625181245,0,366,136,214,0,0,NA,3,3,92,246,38,35,38,35,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,5,17,2,2,6,2,1944.54107265983,203,0,1160,340,0,167,240,8,5,583,245,51,0,47,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,5,18,3,3,7,1,1853.3532841584,247,417,874,250,0,0,NA,11,6,556,253,112,0,106,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,5,19,1,1,5,2,2315.78640743874,149,446,1217,230,0,0,NA,14,4,695,250,91,32,86,32,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,5,20,4,4,8,1,1208.03897112182,234,0,597,420,0,0,NA,6,2,362,256,44,112,44,97,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,6,21,2,2,6,1,976.117570209226,130,0,606,513,0,0,NA,6,4,293,250,23,85,0,76,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,6,22,1,1,5,1,2962.04795201174,427,0,1555,605,0,83,260,18,6,889,250,170,0,162,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,6,23,4,4,8,1,836.294362613899,304,0,390,801,0,0,NA,3,2,251,253,23,0,0,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,1,6,24,3,3,7,1,587.4758362379,0,229,463,483,0,0,NA,1,4,177,252,28,0,28,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,7,25,8,4,12,4,4483.65889763727,197,236,3262,406,0,0,NA,23,3,1345,250,103,5,53,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,7,26,6,2,10,2,2311.45655111095,144,273,1511,267,0,0,NA,10,5,693,245,94,51,89,47,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,7,27,7,3,11,1,4659.64262384978,0,0,2401,286,0,80,237,18,7,1398,251,451,58,444,54,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,7,28,5,1,9,1,1777.69218416233,0,0,993,453,0,0,NA,8,5,534,250,128,62,90,59,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,8,29,8,4,12,1,973.602486346863,117,0,700,494,0,0,NA,4,3,292,251,0,61,0,61,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,8,30,6,2,10,1,551.518166439564,167,214,290,410,0,0,NA,4,4,165,253,0,39,0,39,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,8,31,7,3,11,1,683.038759821102,296,0,290,597,0,0,NA,3,3,205,253,5,45,0,40,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,8,32,5,1,9,1,303.105941417471,0,23,281,0,0,103,680,2,3,91,249,0,69,0,45,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,9,33,8,4,12,1,1966.15050899391,394,0,1044,603,160,0,NA,8,3,590,253,31,53,31,48,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,9,34,6,2,10,1,1455.9642986078,171,176,447,197,0,338,233,7,4,437,251,199,0,194,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,9,35,7,3,11,1,814.383973494387,0,213,493,533,0,0,NA,3,3,244,254,56,0,51,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,9,36,5,1,9,1,422.192083341542,64,253,300,287,0,0,NA,2,3,127,248,0,47,0,42,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,10,37,8,4,12,1,763.338819105684,127,0,452,497,0,0,NA,5,5,229,250,10,76,0,43,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,10,38,5,1,9,1,2045.94857782422,201,163,1141,423,0,0,NA,13,5,614,251,92,52,92,47,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,10,39,7,3,11,1,1092.95758407097,327,0,593,460,0,0,NA,7,3,328,250,20,67,0,67,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,10,40,6,2,10,1,369.10757386795,184,0,90,559,0,133,693,5,4,111,249,0,0,0,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,11,41,7,3,11,3,3741.40096087558,292,227,2719,167,0,107,246,19,7,1123,246,95,54,78,30,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,11,42,5,1,9,3,2688.90386777139,172,0,1556,426,0,0,NA,16,4,806,247,169,69,159,69,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,11,43,6,2,10,1,1190.53994008709,126,0,807,607,0,0,NA,7,4,357,251,50,55,43,50,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,11,44,8,4,12,1,839.709889966343,174,0,394,583,0,0,NA,8,2,252,251,0,63,0,55,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,12,45,5,1,9,1,1563.44791071751,250,0,843,440,0,0,NA,10,4,469,250,87,52,87,50,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,12,46,8,4,12,1,1262.89418174019,294,0,654,570,0,0,NA,5,3,378,250,43,50,43,45,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,12,47,7,3,11,1,451.310246400681,235,0,147,776,0,0,NA,6,2,135,249,0,0,0,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,2,12,48,6,2,10,1,275.578270061942,223,67,0,184,0,370,443,5,3,83,245,0,34,0,32,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,13,49,9,1,13,4,3365.69838554078,160,200,2771,297,0,0,NA,9,3,1010,250,52,66,39,61,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,13,50,12,4,16,3,2487.37809450085,130,117,1791,260,0,0,NA,11,5,746,249,109,59,109,59,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,13,51,10,2,14,2,2003.09736864028,138,0,1437,460,0,0,NA,8,3,601,249,63,75,63,75,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,13,52,11,3,15,1,1413.09678907237,254,0,897,247,0,0,NA,8,3,424,249,32,151,32,151,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,14,53,12,4,16,1,1301.46111520935,90,187,780,167,0,0,NA,9,5,390,253,35,84,35,84,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,14,54,10,2,14,1,1048.9019600268,244,0,587,480,0,0,NA,13,2,315,253,0,55,0,50,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,14,55,11,3,15,1,728.389959949254,236,0,380,501,0,0,NA,9,3,219,249,0,64,0,64,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,14,56,9,1,13,1,283.289845605395,37,27,167,190,0,0,NA,2,3,85,250,0,39,0,31,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,15,57,11,3,15,2,1928.47979299722,216,0,1020,97,104,503,293,7,3,579,250,98,35,98,30,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,15,58,12,4,16,1,1203.19867230637,58,143,658,181,0,43,350,10,4,361,252,51,76,46,46,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,15,59,9,1,13,2,1676.76795423358,180,0,1150,334,0,0,NA,5,3,503,245,61,117,42,89,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,15,60,10,2,14,1,835.187448004945,130,0,476,523,0,0,NA,5,5,251,252,0,76,0,71,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,16,61,11,3,15,1,821.534998061907,127,67,548,537,0,0,NA,5,4,247,252,9,44,0,37,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,16,62,12,4,16,1,1181.47422793663,296,0,386,574,0,0,NA,8,4,355,254,95,41,95,41,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,16,63,10,2,14,1,1028.57662915994,261,0,496,542,0,0,NA,8,2,308,250,0,56,0,51,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,16,64,9,1,13,1,333.450554996489,297,0,0,470,0,0,NA,3,3,100,250,0,68,0,63,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,17,65,12,4,16,4,3864.35964371049,670,113,1988,303,0,0,NA,15,4,1159,250,174,90,150,71,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,17,66,11,3,15,1,1007.5084248665,127,123,723,439,0,0,NA,4,5,303,251,12,25,0,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,17,67,10,2,14,1,727.010769098797,0,0,473,513,0,0,NA,2,2,218,250,59,73,59,73,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,17,68,9,1,13,1,891.812454192859,37,92,437,366,0,0,NA,6,4,267,251,56,64,51,63,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,18,69,12,4,16,1,1217.6441041629,183,0,483,293,0,0,NA,10,2,365,253,80,79,80,79,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,18,70,10,2,14,1,1761.46790098574,147,260,971,87,0,0,NA,14,3,529,250,111,117,99,113,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,18,71,9,1,13,1,1476.90028893885,423,0,732,733,0,0,NA,7,5,444,250,52,0,47,0,18,Low,NA,NA,NA,NA,Low
Exp3,P102_Exp3,NA,18,F,3,18,72,11,3,15,1,1865.73913641951,359,0,950,614,0,0,NA,9,4,559,254,101,0,99,0,18,Low,NA,NA,NA,NA,Low
Exp3,P103_Exp3,NA,18,F,1,1,1,1,1,5,2,3958.41147576084,530,0,3140,407,0,303,257,11,4,1188,246,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,1,2,3,3,7,1,4749.56812253777,846,0,3077,257,0,486,287,13,2,1425,253,84,0,84,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,1,3,4,4,8,2,3287.53998432148,150,59,2922,427,0,213,267,6,4,987,249,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,1,4,2,2,6,2,3461.079411421,517,0,2609,356,0,360,206,12,4,1039,246,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,2,5,1,1,5,2,4620.03205084693,527,0,3522,544,0,203,227,15,3,1386,248,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,2,6,4,4,8,1,2069.02191187601,186,0,1714,469,0,310,257,5,3,620,253,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,2,7,3,3,7,1,2265.76333869752,367,0,1679,464,0,304,263,6,3,680,250,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,2,8,2,2,6,2,2744.07498533765,342,0,2197,333,0,327,243,10,3,823,246,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,3,9,3,3,7,2,5402.77029431672,557,0,4345,544,0,217,216,13,3,1621,248,37,0,36,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,3,10,2,2,6,1,2034.29754523359,287,0,1554,580,0,190,254,7,3,611,253,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,3,11,4,4,8,1,2232.33694380815,230,0,1749,765,0,0,NA,7,3,670,254,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,3,12,1,1,5,2,4087.2994671372,259,167,3360,350,0,134,283,14,4,1226,248,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,4,13,3,3,7,1,1124.84496029265,0,0,780,796,0,0,NA,4,2,338,251,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,4,14,2,2,6,2,4207.70868442696,454,0,3112,817,0,0,NA,12,1,1263,246,57,0,41,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,4,15,4,4,8,1,1240.37048339778,194,0,907,773,0,0,NA,4,2,372,251,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,4,16,1,1,5,1,1934.53241774978,280,0,1446,736,0,0,NA,7,2,580,253,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,5,17,4,4,8,1,1593.93044259923,197,0,1026,773,0,0,NA,7,2,479,250,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,5,18,1,1,5,1,3851.07464514795,529,204,3056,484,0,0,NA,12,3,1155,253,0,17,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,5,19,3,3,7,1,1537.1490080629,150,0,1262,790,0,0,NA,4,2,461,252,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,5,20,2,2,6,1,2147.23527488786,227,0,1689,763,0,0,NA,8,1,644,250,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,6,21,1,1,5,1,1539.57591338713,197,580,1150,187,0,0,NA,7,3,461,252,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,6,22,3,3,7,1,1509.62446054928,260,183,1161,596,0,0,NA,4,2,453,250,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,6,23,4,4,8,1,795.016754400422,210,170,475,487,0,0,NA,3,4,239,249,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,1,6,24,2,2,6,1,811.101944814254,153,0,547,413,0,386,447,4,2,243,251,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,7,25,5,1,9,4,3973.36139367189,146,169,3481,226,0,220,264,9,4,1192,247,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,7,26,7,3,11,1,1639.45302866614,190,344,1046,210,0,167,240,5,4,492,252,54,0,54,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,7,27,8,4,12,1,1877.21248253183,227,0,1458,322,0,403,277,7,4,564,250,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,7,28,6,2,10,1,819.060926492057,0,303,793,449,0,0,NA,2,3,245,253,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,8,29,8,4,12,1,2334.56882132987,800,196,1267,321,0,217,203,9,4,700,254,17,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,8,30,6,2,10,1,4482.52431961373,609,0,3472,204,0,520,240,14,3,1345,254,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,8,31,5,1,9,1,1005.15566454487,210,0,647,461,0,203,253,5,3,301,252,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,8,32,7,3,11,1,822.667476842526,150,0,444,390,0,352,257,4,4,247,251,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,9,33,8,4,12,1,2105.76296439876,939,359,803,307,134,0,NA,9,5,632,252,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,9,34,6,2,10,1,1175.08974870952,250,197,790,514,0,0,NA,5,4,352,251,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,9,35,5,1,9,1,695.786813874747,0,0,650,767,0,0,NA,2,2,208,250,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,9,36,7,3,11,1,380.917279656387,0,183,373,520,0,0,NA,1,4,114,250,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,10,37,8,4,12,1,2987.83408057261,0,0,2215,823,143,0,NA,9,2,897,252,46,0,45,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,10,38,7,3,11,2,4683.81317537887,583,0,3467,799,0,0,NA,12,2,1405,253,51,0,50,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,10,39,5,1,9,1,1047.36721522568,164,0,746,786,0,0,NA,5,2,314,249,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,10,40,6,2,10,1,303.4802848656,47,210,200,277,0,217,467,2,4,91,248,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,11,41,7,3,11,3,6588.33920288225,1124,0,3837,543,0,210,380,29,3,1977,248,172,0,85,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,11,42,8,4,12,1,1077.3307422196,154,0,697,643,0,0,NA,8,2,323,251,0,13,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,11,43,5,1,9,1,1107.14485153449,86,0,647,780,0,0,NA,5,2,332,252,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,11,44,6,2,10,1,2030.65115016898,390,0,1227,823,0,0,NA,12,1,610,249,2,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,12,45,5,1,9,1,1406.71160063766,220,190,948,544,0,0,NA,8,3,422,251,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,12,46,7,3,11,1,2455.13319152269,293,0,1871,230,0,220,256,6,3,737,251,26,0,26,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,12,47,8,4,12,1,1726.36582096266,284,0,924,770,0,0,NA,10,3,518,251,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,2,12,48,6,2,10,1,561.086323875315,126,0,346,557,0,0,NA,5,2,169,250,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,13,49,9,1,13,1,1997.39832126943,239,123,1519,373,0,216,207,7,4,599,250,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,13,50,10,2,14,3,3364.46443119712,0,0,2890,340,0,364,370,7,2,1010,249,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,13,51,11,3,15,1,2470.64033172546,216,0,1874,154,0,657,180,9,2,741,252,41,0,41,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,13,52,12,4,16,1,1013.18890228094,282,120,596,180,0,240,213,6,4,304,249,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,14,53,10,2,14,4,5020.05366358571,1056,0,2802,330,0,73,410,24,4,1507,248,56,0,52,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,14,54,11,3,15,1,1916.91682808278,384,0,1251,246,0,457,277,6,2,575,253,27,0,27,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,14,55,12,4,16,1,1999.65045318822,474,0,1156,446,0,263,234,11,3,600,254,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,14,56,9,1,13,1,944.920115875448,63,0,530,644,0,0,NA,6,3,284,250,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,15,57,10,2,14,1,1456.49606186316,333,177,980,354,0,187,193,5,4,437,251,1,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,15,58,11,3,15,1,1246.9231277737,357,0,813,250,0,410,283,4,2,374,249,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,15,59,9,1,13,1,1541.02239725717,186,0,942,724,0,0,NA,13,3,462,252,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,15,60,12,4,16,1,543.971811675419,0,0,314,773,0,0,NA,2,2,163,251,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,16,61,9,1,13,1,1346.9022696695,167,394,967,290,0,0,NA,7,3,404,249,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,16,62,12,4,16,1,1460.98613856748,143,0,1073,650,0,0,NA,5,3,438,250,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,16,63,11,3,15,1,867.37717036749,330,0,450,797,0,0,NA,4,2,260,253,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,16,64,10,2,14,1,505.146759855052,0,0,500,796,0,0,NA,1,2,152,248,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,17,65,12,4,16,1,1497.31153827452,200,0,979,744,157,0,NA,5,3,449,249,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,17,66,11,3,15,1,3087.47092015028,506,339,1468,417,0,0,NA,13,4,926,253,145,0,141,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,17,67,10,2,14,1,1043.31663779431,309,0,683,793,0,0,NA,3,2,313,251,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,17,68,9,1,13,1,315.334691072167,0,0,310,570,0,230,600,1,2,95,250,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,18,69,11,3,15,1,5097.21778245466,437,0,3798,779,0,0,NA,14,2,1529,249,51,0,32,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,18,70,10,2,14,1,2542.79005367243,156,0,2138,420,0,0,NA,7,3,763,251,0,19,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,18,71,12,4,16,1,848.734371891624,297,0,380,697,0,0,NA,4,3,255,254,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P103_Exp3,NA,18,F,3,18,72,9,1,13,1,752.171612391976,0,0,730,837,0,0,NA,3,1,225,253,0,0,0,0,26,High,NA,NA,NA,NA,High
Exp3,P105_Exp3,NA,20,F,1,1,1,4,4,8,1,6867.05071099732,900,0,4848,137,0,517,273,22,3,2060,254,65,0,57,0,15,Low,NA,NA,NA,NA,Low
Exp3,P105_Exp3,NA,20,F,1,1,2,2,2,6,4,10908.242302914,1623,0,7668,204,387,570,237,31,3,3272,247,39,0,34,0,15,Low,NA,NA,NA,NA,Low
Exp3,P105_Exp3,NA,20,F,1,1,3,1,1,5,1,5848.33126660942,1807,0,2814,193,200,536,227,21,3,1754,249,110,0,105,0,15,Low,NA,NA,NA,NA,Low
Exp3,P105_Exp3,NA,20,F,1,1,4,3,3,7,3,6285.21751309745,861,0,4662,247,0,499,283,19,4,1886,248,0,0,0,0,15,Low,NA,NA,NA,NA,Low
Exp3,P105_Exp3,NA,20,F,1,2,5,4,4,8,1,2739.63086344793,610,176,1677,103,0,400,3,10,4,822,252,0,0,0,0,15,Low,NA,NA,NA,NA,Low
