Experiment,subj,condition,age,sex,phase,epoch,block,trial,cue,resp,out,numResp,RT,ICU,ICU_Exp_medSplit,AOI_out_p2,AOI_out_p2_1s,tOutFix,tOutFix_1s
Exp3,P102_Exp3,NA,18,F,3,7,14,53,12,4,16,1,1301.46111520935,18,Low,0,NA,NA,NA
Exp3,P102_Exp3,NA,18,F,3,7,14,54,10,2,14,1,1048.9019600268,18,Low,0,NA,NA,NA
Exp3,P102_Exp3,NA,18,F,3,7,14,55,11,3,15,1,728.389959949254,18,Low,0,NA,NA,NA
Exp3,P102_Exp3,NA,18,F,3,7,14,56,9,1,13,1,283.289845605395,18,Low,0,NA,NA,NA
Exp3,P102_Exp3,NA,18,F,3,8,15,57,11,3,15,2,1928.47979299722,18,Low,503,NA,293,NA
Exp3,P102_Exp3,NA,18,F,3,8,15,58,12,4,16,1,1203.19867230637,18,Low,43,NA,350,NA
Exp3,P102_Exp3,NA,18,F,3,8,15,59,9,1,13,2,1676.76795423358,18,Low,0,NA,NA,NA
Exp3,P102_Exp3,NA,18,F,3,8,15,60,10,2,14,1,835.187448004945,18,Low,0,NA,NA,NA
Exp3,P102_Exp3,NA,18,F,3,8,16,61,11,3,15,1,821.534998061907,18,Low,0,NA,NA,NA
Exp3,P102_Exp3,NA,18,F,3,8,16,62,12,4,16,1,1181.47422793663,18,Low,0,NA,NA,NA
Exp3,P102_Exp3,NA,18,F,3,8,16,63,10,2,14,1,1028.57662915994,18,Low,0,NA,NA,NA
Exp3,P102_Exp3,NA,18,F,3,8,16,64,9,1,13,1,333.450554996489,18,Low,0,NA,NA,NA
Exp3,P102_Exp3,NA,18,F,3,9,17,65,12,4,16,4,3864.35964371049,18,Low,0,NA,NA,NA
Exp3,P102_Exp3,NA,18,F,3,9,17,66,11,3,15,1,1007.5084248665,18,Low,0,NA,NA,NA
Exp3,P102_Exp3,NA,18,F,3,9,17,67,10,2,14,1,727.010769098797,18,Low,0,NA,NA,NA
Exp3,P102_Exp3,NA,18,F,3,9,17,68,9,1,13,1,891.812454192859,18,Low,0,NA,NA,NA
Exp3,P102_Exp3,NA,18,F,3,9,18,69,12,4,16,1,1217.6441041629,18,Low,0,NA,NA,NA
Exp3,P102_Exp3,NA,18,F,3,9,18,70,10,2,14,1,1761.46790098574,18,Low,0,NA,NA,NA
Exp3,P102_Exp3,NA,18,F,3,9,18,71,9,1,13,1,1476.90028893885,18,Low,0,NA,NA,NA
Exp3,P102_Exp3,NA,18,F,3,9,18,72,11,3,15,1,1865.73913641951,18,Low,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,1,1,1,1,1,1,5,2,3958.41147576084,26,High,303,NA,257,NA
Exp3,P103_Exp3,NA,18,F,1,1,1,2,3,3,7,1,4749.56812253777,26,High,486,NA,287,NA
Exp3,P103_Exp3,NA,18,F,1,1,1,3,4,4,8,2,3287.53998432148,26,High,213,NA,267,NA
Exp3,P103_Exp3,NA,18,F,1,1,1,4,2,2,6,2,3461.079411421,26,High,360,NA,206,NA
Exp3,P103_Exp3,NA,18,F,1,1,2,5,1,1,5,2,4620.03205084693,26,High,203,NA,227,NA
Exp3,P103_Exp3,NA,18,F,1,1,2,6,4,4,8,1,2069.02191187601,26,High,310,NA,257,NA
Exp3,P103_Exp3,NA,18,F,1,1,2,7,3,3,7,1,2265.76333869752,26,High,304,NA,263,NA
Exp3,P103_Exp3,NA,18,F,1,1,2,8,2,2,6,2,2744.07498533765,26,High,327,NA,243,NA
Exp3,P103_Exp3,NA,18,F,1,2,3,9,3,3,7,2,5402.77029431672,26,High,217,NA,216,NA
Exp3,P103_Exp3,NA,18,F,1,2,3,10,2,2,6,1,2034.29754523359,26,High,190,NA,254,NA
Exp3,P103_Exp3,NA,18,F,1,2,3,11,4,4,8,1,2232.33694380815,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,1,2,3,12,1,1,5,2,4087.2994671372,26,High,134,NA,283,NA
Exp3,P103_Exp3,NA,18,F,1,2,4,13,3,3,7,1,1124.84496029265,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,1,2,4,14,2,2,6,2,4207.70868442696,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,1,2,4,15,4,4,8,1,1240.37048339778,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,1,2,4,16,1,1,5,1,1934.53241774978,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,1,3,5,17,4,4,8,1,1593.93044259923,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,1,3,5,18,1,1,5,1,3851.07464514795,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,1,3,5,19,3,3,7,1,1537.1490080629,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,1,3,5,20,2,2,6,1,2147.23527488786,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,1,3,6,21,1,1,5,1,1539.57591338713,26,High,0,NA,NA,NA
