subj,age,sex,phase,block,trial,cue,resp,out,numResp,RT,AOI_cue_p1,AOI_cue_p2,AOI_resp_p1,AOI_resp_p2,AOI_out_p1,AOI_out_p2,tOutFix,nFix_p1,nFix_p2,samples_p1,samples_p2,raw_NA_p1,raw_NA_p2,post_interp_NA_p1,post_interp_NA_p2,ICU,ICU_medSplit
P1048_Exp7,19,F,1,1,1,2,2,6,2,6973.43432993921,910,84,4783,342,0,300,233,25,4,837,99,34,0,0,0,18,Low
P1048_Exp7,19,F,1,1,2,1,1,5,2,11575.3642508867,3877,0,6282,409,0,259,258,24,3,1389,100,36,9,0,0,18,Low
P1048_Exp7,19,F,1,1,3,3,3,7,1,1120.18493506821,167,125,724,242,0,308,267,5,3,134,99,4,0,0,0,18,Low
P1048_Exp7,19,F,1,1,4,4,4,8,1,2877.64659836466,1017,0,1366,417,0,267,300,8,3,346,100,6,0,0,0,18,Low
P1048_Exp7,19,F,1,2,5,2,2,6,1,3461.85625736825,876,209,1886,308,0,167,216,10,4,416,98,26,0,0,0,18,Low
P1048_Exp7,19,F,1,2,6,4,4,8,4,6283.11952051172,343,191,5006,341,75,0,NA,15,4,754,100,49,0,0,0,18,Low
P1048_Exp7,19,F,1,2,7,3,3,7,1,1892.33881799009,341,0,1450,491,0,0,NA,3,3,227,100,0,21,0,0,18,Low
P1048_Exp7,19,F,1,2,8,1,1,5,2,3568.22544170427,600,133,2551,425,0,0,NA,11,2,428,99,5,15,0,0,18,Low
P1048_Exp7,19,F,1,3,9,3,3,7,2,6265.37483388529,1125,0,4175,467,0,75,325,19,3,752,99,18,18,0,0,18,Low
P1048_Exp7,19,F,1,3,10,4,4,8,1,2603.31845491555,425,301,1851,317,0,0,NA,10,3,312,99,12,14,0,0,18,Low
P1048_Exp7,19,F,1,3,11,1,1,5,1,1498.64694061898,216,241,1025,184,0,175,225,4,3,180,99,17,22,0,0,18,Low
P1048_Exp7,19,F,1,3,12,2,2,6,1,2424.61016199377,683,92,1441,258,0,191,209,7,4,291,98,3,23,0,0,18,Low
P1048_Exp7,19,F,1,4,13,1,1,5,1,1727.62030318381,0,209,1168,275,0,0,NA,7,2,207,100,15,28,0,28,18,Low
P1048_Exp7,19,F,1,4,14,2,2,6,1,2395.33455170886,383,200,1783,208,0,0,NA,8,4,288,99,5,0,0,0,18,Low
P1048_Exp7,19,F,1,4,15,4,4,8,1,1611.73198520009,175,0,1133,791,0,0,NA,5,2,193,100,0,2,0,0,18,Low
P1048_Exp7,19,F,1,4,16,3,3,7,1,668.958707782167,0,175,516,450,0,0,NA,3,3,81,98,0,10,0,0,18,Low
P1048_Exp7,19,F,1,5,17,4,4,8,1,2318.22613734403,725,142,1158,333,0,0,NA,8,3,278,99,3,20,0,0,18,Low
P1048_Exp7,19,F,1,5,18,2,2,6,1,1139.65759070834,250,133,708,568,0,0,NA,3,3,137,98,0,0,0,0,18,Low
P1048_Exp7,19,F,1,5,19,1,1,5,1,871.971105936609,309,466,475,300,0,0,NA,3,2,104,99,1,1,0,0,18,Low
P1048_Exp7,19,F,1,5,20,3,3,7,1,766.197080009988,258,358,442,333,0,0,NA,2,2,92,99,0,11,0,0,18,Low
P1048_Exp7,19,F,1,6,21,4,4,8,1,2275.04298901431,549,150,1216,567,0,0,NA,9,3,273,98,1,1,0,0,18,Low
P1048_Exp7,19,F,1,6,22,2,2,6,1,1120.90252606458,675,300,400,450,0,0,NA,2,2,135,98,0,0,0,0,18,Low
P1048_Exp7,19,F,1,6,23,3,3,7,1,2469.87373678394,1934,484,392,275,0,0,NA,6,2,296,99,0,0,0,0,18,Low
P1048_Exp7,19,F,1,6,24,1,1,5,1,707.55496251968,200,317,358,291,0,0,NA,4,3,85,100,3,1,0,0,18,Low
P1048_Exp7,19,F,2,7,25,6,2,10,3,10911.5554782206,1684,0,6576,325,0,374,267,26,4,1310,98,149,5,73,0,18,Low
P1048_Exp7,19,F,2,7,26,8,4,12,2,4338.92806562608,767,150,2982,234,0,250,275,13,3,521,98,30,1,0,0,18,Low
P1048_Exp7,19,F,2,7,27,5,1,9,2,1779.06950618171,141,0,1500,651,0,0,NA,4,3,213,100,1,21,0,0,18,Low
P1048_Exp7,19,F,2,7,28,7,3,11,1,1085.75540754373,150,359,757,300,0,0,NA,4,3,130,99,2,15,0,0,18,Low
P1048_Exp7,19,F,2,8,29,6,2,10,1,1891.11882054385,441,175,1182,183,0,233,217,6,3,227,98,2,5,0,0,18,Low
P1048_Exp7,19,F,2,8,30,7,3,11,1,1208.61774539389,158,241,775,533,0,0,NA,3,2,145,100,0,0,0,0,18,Low
P1048_Exp7,19,F,2,8,31,8,4,12,1,1377.1885582687,0,191,1265,191,0,309,225,4,3,165,100,0,0,0,0,18,Low
P1048_Exp7,19,F,2,8,32,5,1,9,1,381.089705703744,125,117,200,225,0,216,359,2,3,46,99,0,18,0,0,18,Low
P1048_Exp7,19,F,2,9,33,6,2,10,1,4337.81442376085,941,217,2732,183,0,300,217,13,3,520,99,38,0,29,0,18,Low
P1048_Exp7,19,F,2,9,34,5,1,9,3,2554.9078061249,316,208,2042,258,0,0,NA,4,2,306,96,1,27,0,0,18,Low
P1048_Exp7,19,F,2,9,35,7,3,11,1,574.549851550273,0,0,67,525,0,0,NA,1,5,69,100,0,0,0,0,18,Low
P1048_Exp7,19,F,2,9,36,8,4,12,1,192.500818536246,0,366,141,83,0,0,NA,1,4,24,99,0,25,0,0,18,Low
P1048_Exp7,19,F,2,10,37,6,2,10,1,2922.04630610695,633,0,1818,0,0,300,8,8,2,351,98,18,26,0,0,18,Low
P1048_Exp7,19,F,2,10,38,5,1,9,1,2333.33384862181,642,191,1483,184,0,200,233,7,3,280,99,0,3,0,0,18,Low
P1048_Exp7,19,F,2,10,39,8,4,12,2,2312.52278220018,292,0,1633,192,0,0,NA,6,2,278,99,0,22,0,0,18,Low
P1048_Exp7,19,F,2,10,40,7,3,11,1,700.256582838847,117,184,275,291,0,0,NA,3,3,84,99,5,33,0,33,18,Low
P1048_Exp7,19,F,2,11,41,5,1,9,1,2727.60851747444,1274,0,1167,333,0,0,NA,10,2,328,99,21,22,0,0,18,Low
P1048_Exp7,19,F,2,11,42,6,2,10,1,2514.25705834708,992,0,1265,534,0,208,317,8,4,302,99,4,2,0,0,18,Low
P1048_Exp7,19,F,2,11,43,8,4,12,1,965.867897093631,175,0,625,776,0,0,NA,4,2,116,99,1,0,0,0,18,Low
P1048_Exp7,19,F,2,11,44,7,3,11,1,449.069125871574,0,0,400,808,0,0,NA,1,1,54,99,0,0,0,0,18,Low
P1048_Exp7,19,F,2,12,45,5,1,9,1,581.597454638995,141,250,334,334,0,0,NA,3,4,70,99,0,1,0,0,18,Low
P1048_Exp7,19,F,2,12,46,7,3,11,1,1280.45595626827,0,217,841,524,0,0,NA,4,3,153,100,1,0,0,0,18,Low
P1048_Exp7,19,F,2,12,47,8,4,12,1,1024.24783571041,341,0,458,758,0,0,NA,4,2,123,100,0,0,0,0,18,Low
P1048_Exp7,19,F,2,12,48,6,2,10,1,433.429908734979,225,433,158,309,0,0,NA,2,2,52,99,0,0,0,0,18,Low
P1048_Exp7,19,F,3,13,49,10,2,14,2,5215.87029318607,891,0,3332,242,0,508,275,11,2,626,100,52,0,29,0,18,Low
P1048_Exp7,19,F,3,13,50,11,3,15,1,2324.83467736074,458,0,1783,491,0,226,308,3,3,279,98,0,0,0,0,18,Low
P1048_Exp7,19,F,3,13,51,9,1,13,2,2232.64603100461,234,184,1508,484,0,0,NA,7,3,267,100,24,10,0,0,18,Low
P1048_Exp7,19,F,3,13,52,12,4,16,1,368.5724824104,0,358,283,0,0,192,591,1,3,44,99,0,0,0,0,18,Low
P1048_Exp7,19,F,3,14,53,9,1,13,2,1805.93445589966,359,0,1116,458,0,234,283,4,3,216,99,19,3,0,0,18,Low
P1048_Exp7,19,F,3,14,54,12,4,16,1,1254.79581738091,200,0,524,700,0,0,NA,6,3,151,98,1,2,0,0,18,Low
P1048_Exp7,19,F,3,14,55,11,3,15,1,1062.34415738436,326,200,550,508,0,0,NA,5,4,128,99,2,2,0,0,18,Low
P1048_Exp7,19,F,3,14,56,10,2,14,1,294.096059495132,241,184,0,491,0,0,NA,1,3,35,100,0,1,0,0,18,Low
P1048_Exp7,19,F,3,15,57,9,1,13,2,3522.70336099082,216,117,1867,241,0,150,284,9,4,423,99,85,0,57,0,18,Low
P1048_Exp7,19,F,3,15,58,11,3,15,1,957.399952325432,300,200,467,267,0,0,NA,3,3,115,100,0,1,0,0,18,Low
P1048_Exp7,19,F,3,15,59,10,2,14,2,1897.01718972083,358,0,1300,200,0,234,300,8,3,228,98,1,23,0,0,18,Low
P1048_Exp7,19,F,3,15,60,12,4,16,1,414.138428590377,317,242,0,324,0,0,NA,2,3,50,99,0,25,0,0,18,Low
P1048_Exp7,19,F,3,16,61,10,2,14,1,3158.99169962677,742,0,1649,67,0,208,316,10,4,379,99,26,0,0,0,18,Low
P1048_Exp7,19,F,3,16,62,9,1,13,1,2223.64816337176,633,0,1283,642,0,0,NA,6,3,267,98,0,25,0,0,18,Low
P1048_Exp7,19,F,3,16,63,12,4,16,2,2337.20469708305,0,0,2007,550,0,0,NA,8,3,280,99,9,25,0,0,18,Low
P1048_Exp7,19,F,3,16,64,11,3,15,1,372.316260686148,150,358,175,358,0,0,NA,2,3,45,98,0,4,0,0,18,Low
P1048_Exp7,19,F,3,17,65,12,4,16,1,1302.15651398566,200,0,742,541,0,0,NA,5,4,156,99,17,2,0,0,18,Low
P1048_Exp7,19,F,3,17,66,11,3,15,1,1004.69819594309,334,0,608,666,0,0,NA,3,2,121,98,0,2,0,0,18,Low
P1048_Exp7,19,F,3,17,67,10,2,14,2,2599.06110282736,750,217,1491,225,0,234,316,7,3,312,100,1,2,0,0,18,Low
P1048_Exp7,19,F,3,17,68,9,1,13,1,871.247294347995,142,0,517,701,0,0,NA,4,2,105,98,1,10,0,0,18,Low
P1048_Exp7,19,F,3,18,69,11,3,15,1,1002.86634473514,192,0,609,524,0,0,NA,4,2,120,99,10,29,0,0,18,Low
P1048_Exp7,19,F,3,18,70,12,4,16,1,1244.66328410563,400,0,716,726,0,0,NA,5,3,149,100,1,2,0,0,18,Low
P1048_Exp7,19,F,3,18,71,9,1,13,1,700.270495632594,191,0,383,742,0,0,NA,4,2,84,99,0,24,0,0,18,Low
P1048_Exp7,19,F,3,18,72,10,2,14,1,218.284626702825,0,500,192,234,0,0,NA,1,3,26,99,0,0,0,0,18,Low
P1049_Exp7,18,M,1,1,1,2,2,6,3,5269.16247761983,633,133,3760,233,0,392,250,15,3,632,100,7,0,0,0,22,Low
P1049_Exp7,18,M,1,1,2,3,3,7,1,6693.2377328485,600,250,4708,183,391,242,217,14,4,803,99,59,0,0,0,22,Low
