subj,age,sex,phase,block,trial,cue,resp,out,numResp,RT,AOI_cue_p1,AOI_cue_p2,AOI_resp_p1,AOI_resp_p2,AOI_out_p1,AOI_out_p2,tOutFix,nFix_p1,nFix_p2,samples_p1,samples_p2,raw_NA_p1,raw_NA_p2,post_interp_NA_p1,post_interp_NA_p2,ICU,ICU_medSplit
P101_Exp5,34,F,1,1,1,4,4,8,25,85465.6727447427,10318,0,50567,1571,220,690,260,224,9,25644,792,4563,6,3914,0,14,Low
P101_Exp5,34,F,1,1,2,1,1,5,1,3341.96611540619,473,0,1767,734,0,1599,247,10,8,1003,791,138,0,87,0,14,Low
P101_Exp5,34,F,1,1,3,3,3,7,2,4996.46596372804,961,490,2955,267,0,1614,190,18,10,1499,800,61,0,56,0,14,Low
P101_Exp5,34,F,1,1,4,2,2,6,1,4047.33808093715,990,0,2266,700,0,1078,187,13,11,1214,795,0,97,0,87,14,Low
P101_Exp5,34,F,1,2,5,3,3,7,3,5508.59914693319,543,400,4124,573,0,1180,200,20,9,1653,791,0,58,0,58,14,Low
P101_Exp5,34,F,1,2,6,2,2,6,3,6379.45343822958,1532,404,3873,1314,136,343,220,18,8,1914,795,14,99,0,96,14,Low
P101_Exp5,34,F,1,2,7,4,4,8,3,5781.84973924635,560,293,4458,844,0,656,170,13,16,1735,794,78,50,75,47,14,Low
P101_Exp5,34,F,1,2,8,1,1,5,5,6752.34397099757,496,0,4819,147,206,1975,219,21,13,2026,793,5,48,0,0,14,Low
P101_Exp5,34,F,1,3,9,3,3,7,1,6496.71790727734,1098,667,3420,653,0,830,193,29,10,1949,795,333,24,150,0,14,Low
P101_Exp5,34,F,1,3,10,2,2,6,1,4822.40262413779,1253,807,2653,287,0,693,200,16,12,1447,792,55,29,48,29,14,Low
P101_Exp5,34,F,1,3,11,1,1,5,1,3810.28032079848,947,167,1976,1607,0,253,190,16,11,1144,790,0,45,0,32,14,Low
P101_Exp5,34,F,1,3,12,4,4,8,1,3051.98143681719,737,286,1571,951,0,296,166,14,14,916,793,2,121,0,82,14,Low
P101_Exp5,34,F,1,4,13,1,1,5,2,8421.34347991032,1630,326,4480,913,0,217,223,26,11,2527,792,323,185,245,180,14,Low
P101_Exp5,34,F,1,4,14,2,2,6,3,5662.05644815545,427,863,4738,663,0,513,219,11,12,1699,795,25,7,0,0,14,Low
P101_Exp5,34,F,1,4,15,3,3,7,1,1751.74920502286,130,296,1314,839,0,583,167,3,13,526,793,0,117,0,68,14,Low
P101_Exp5,34,F,1,4,16,4,4,8,1,1147.73065207919,410,0,617,1432,0,406,177,4,8,344,794,2,55,0,31,14,Low
P101_Exp5,34,F,1,5,17,1,1,5,1,4061.83646154386,520,0,2777,1465,0,533,180,13,13,1219,795,83,73,41,70,14,Low
P101_Exp5,34,F,1,5,18,4,4,8,1,3989.19906697665,473,271,2818,1032,0,229,187,12,10,1197,792,100,201,86,195,14,Low
P101_Exp5,34,F,1,5,19,3,3,7,1,3449.52190458207,537,356,2323,948,0,246,173,10,11,1035,794,19,116,0,106,14,Low
P101_Exp5,34,F,1,5,20,2,2,6,2,3690.31892512066,1237,737,2112,297,0,223,170,11,7,1107,791,0,370,0,359,14,Low
P101_Exp5,34,F,1,6,21,1,1,5,1,2683.04434846414,734,117,1281,1083,0,469,183,13,14,805,793,72,213,41,109,14,Low
P101_Exp5,34,F,1,6,22,4,4,8,1,1946.36098369301,384,200,1223,1023,0,267,750,5,14,584,795,0,173,0,167,14,Low
P101_Exp5,34,F,1,6,23,2,2,6,2,3208.53757969508,1009,983,1693,465,0,237,197,9,9,963,790,16,144,0,104,14,Low
P101_Exp5,34,F,1,6,24,3,3,7,1,1116.23493511979,193,0,623,1467,0,283,200,6,12,334,795,0,105,0,80,14,Low
P101_Exp5,34,F,2,7,25,7,3,11,1,6365.07281616559,2411,363,2464,723,0,876,193,19,11,1910,794,214,40,156,40,14,Low
P101_Exp5,34,F,2,7,26,5,1,9,2,6369.11799278005,1424,298,3137,717,0,736,290,21,8,1911,793,207,117,169,81,14,Low
P101_Exp5,34,F,2,7,27,8,4,12,2,5164.15242222047,953,267,3346,676,0,1083,183,16,12,1549,795,36,68,36,42,14,Low
P101_Exp5,34,F,2,7,28,6,2,10,1,1303.91218625937,197,320,747,808,0,503,210,3,13,391,792,0,71,0,46,14,Low
P101_Exp5,34,F,2,8,29,7,3,11,1,2404.16139917579,400,283,1549,427,0,1246,193,8,9,721,797,14,42,0,29,14,Low
P101_Exp5,34,F,2,8,30,5,1,9,1,3765.76545826174,590,1154,1616,223,0,377,197,13,16,1130,794,277,74,216,58,14,Low
P101_Exp5,34,F,2,8,31,8,4,12,1,2307.7717651704,777,0,956,1207,0,414,27,7,8,692,792,99,201,95,148,14,Low
P101_Exp5,34,F,2,8,32,6,2,10,1,1059.82773973119,163,0,736,224,0,553,193,4,4,318,795,0,543,0,534,14,Low
P101_Exp5,34,F,2,9,33,5,1,9,1,3299.29613670902,1389,606,721,833,0,333,179,9,11,990,794,259,138,249,131,14,Low
P101_Exp5,34,F,2,9,34,7,3,11,1,1331.50736481548,333,437,867,626,0,911,190,5,13,400,793,0,46,0,0,14,Low
P101_Exp5,34,F,2,9,35,8,4,12,1,2217.08531393051,812,126,1133,663,0,630,173,7,9,666,793,0,211,0,193,14,Low
P101_Exp5,34,F,2,9,36,6,2,10,1,1211.32282523195,160,0,909,1863,0,354,183,5,8,363,796,0,35,0,0,14,Low
P101_Exp5,34,F,2,10,37,5,1,9,1,1907.69522211758,357,857,1287,778,0,213,237,6,9,572,791,23,130,0,82,14,Low
P101_Exp5,34,F,2,10,38,6,2,10,1,1442.64412301618,0,167,866,516,0,1591,154,2,8,433,791,151,11,151,0,14,Low
P101_Exp5,34,F,2,10,39,8,4,12,1,2261.36593936553,217,276,1827,1008,0,547,163,6,10,678,795,0,74,0,49,14,Low
P101_Exp5,34,F,2,10,40,7,3,11,1,1158.57766453246,167,0,691,1134,0,639,204,6,11,348,791,0,156,0,130,14,Low
P101_Exp5,34,F,2,11,41,8,4,12,1,3666.11698457837,1612,227,1733,1347,0,227,196,11,10,1100,794,4,163,0,150,14,Low
P101_Exp5,34,F,2,11,42,5,1,9,1,3660.21199097759,1380,398,1592,694,0,600,191,12,15,1098,791,10,143,0,127,14,Low
P101_Exp5,34,F,2,11,43,7,3,11,1,1988.90381729689,230,0,1467,1259,0,153,290,6,7,597,792,17,281,0,266,14,Low
P101_Exp5,34,F,2,11,44,6,2,10,1,545.482317232199,0,163,540,160,0,1001,223,1,5,164,794,0,270,0,258,14,Low
P101_Exp5,34,F,2,12,45,8,4,12,1,3020.21009660075,888,0,1419,1603,0,281,220,9,7,907,792,22,150,0,135,14,Low
P101_Exp5,34,F,2,12,46,6,2,10,1,1127.37079733142,167,234,699,593,0,427,187,6,7,338,795,0,291,0,252,14,Low
P101_Exp5,34,F,2,12,47,5,1,9,1,2972.07927880572,1367,1466,1100,160,0,183,303,11,8,891,792,61,94,0,48,14,Low
P101_Exp5,34,F,2,12,48,7,3,11,1,906.17033431954,133,0,523,1552,0,377,203,3,9,272,792,0,91,0,80,14,Low
P101_Exp5,34,F,3,13,49,12,4,16,1,2259.07818100677,204,270,1479,693,0,826,157,7,13,678,791,0,47,0,31,14,Low
P101_Exp5,34,F,3,13,50,9,1,13,1,2475.3955044398,503,507,1783,506,0,880,190,6,9,743,791,0,74,0,58,14,Low
P101_Exp5,34,F,3,13,51,10,2,14,1,2237.62180649283,167,553,1590,371,0,813,270,8,12,672,792,0,146,0,116,14,Low
P101_Exp5,34,F,3,13,52,11,3,15,1,1110.16866351292,170,0,533,126,0,2210,167,4,9,333,791,0,0,0,0,14,Low
P101_Exp5,34,F,3,14,53,10,2,14,1,4433.51527597133,2026,380,1705,625,0,974,83,12,11,1330,794,76,72,76,66,14,Low
P101_Exp5,34,F,3,14,54,9,1,13,1,2010.10078168656,525,609,1157,399,0,857,124,8,10,603,790,0,89,0,38,14,Low
P101_Exp5,34,F,3,14,55,11,3,15,1,2533.04215115804,786,450,1527,866,0,753,217,9,11,760,794,0,59,0,47,14,Low
P101_Exp5,34,F,3,14,56,12,4,16,1,1388.60063171524,226,416,888,603,0,1203,103,5,7,416,792,0,52,0,45,14,Low
P101_Exp5,34,F,3,15,57,9,1,13,1,1372.3004600688,236,0,722,537,0,1200,196,5,11,412,792,46,40,44,37,14,Low
P101_Exp5,34,F,3,15,58,10,2,14,1,1649.67601467561,420,170,997,1213,0,420,177,6,10,495,794,0,151,0,105,14,Low
P101_Exp5,34,F,3,15,59,11,3,15,1,4939.77162522606,1608,160,2302,290,0,1388,170,14,11,1483,791,45,103,35,78,14,Low
P101_Exp5,34,F,3,15,60,12,4,16,1,1312.86695545896,233,0,716,170,0,1194,210,5,6,394,795,0,312,0,304,14,Low
P101_Exp5,34,F,3,16,61,9,1,13,1,2059.92501852779,450,269,1360,752,0,1054,300,6,10,618,791,8,72,0,65,14,Low
P101_Exp5,34,F,3,16,62,12,4,16,1,4820.9442955158,1214,1293,3046,163,0,603,163,14,7,1446,793,13,40,0,37,14,Low
P101_Exp5,34,F,3,16,63,11,3,15,1,1527.77117637743,229,566,664,200,0,1074,227,4,12,459,800,114,60,114,56,14,Low
P101_Exp5,34,F,3,16,64,10,2,14,1,1022.77561152277,147,0,763,354,0,1109,163,3,12,307,791,0,240,0,207,14,Low
P101_Exp5,34,F,3,17,65,9,1,13,1,1315.88985138933,267,693,816,381,0,1071,187,6,9,394,794,10,54,0,42,14,Low
P101_Exp5,34,F,3,17,66,11,3,15,1,1692.28583411677,502,616,740,97,0,786,154,10,7,508,791,0,239,0,204,14,Low
P101_Exp5,34,F,3,17,67,10,2,14,1,2667.97509492153,903,216,962,431,0,1317,133,7,12,800,793,167,54,147,36,14,Low
P101_Exp5,34,F,3,17,68,12,4,16,1,1549.13923198365,194,292,1127,1106,0,650,70,6,8,465,794,0,106,0,93,14,Low
P101_Exp5,34,F,3,18,69,9,1,13,1,1455.2216740567,210,0,847,463,0,1677,187,10,8,437,791,0,81,0,81,14,Low
P101_Exp5,34,F,3,18,70,12,4,16,1,5208.34643539365,2542,206,1380,790,0,397,43,17,9,1563,791,241,245,158,227,14,Low
P101_Exp5,34,F,3,18,71,10,2,14,1,2012.811361481,273,0,1262,960,0,863,180,5,5,604,795,68,163,65,157,14,Low
P101_Exp5,34,F,3,18,72,11,3,15,1,831.042943895227,110,0,454,573,0,186,227,3,6,249,794,0,445,0,445,14,Low
P102_Exp5,30,F,1,1,1,4,4,8,7,14967.3561372465,3092,0,7399,390,0,1573,293,87,14,4491,794,778,102,709,100,12,Low
P102_Exp5,30,F,1,1,2,1,1,5,1,1710.94970984905,298,707,925,560,0,829,229,8,19,513,796,42,40,40,32,12,Low
P102_Exp5,30,F,1,1,3,3,3,7,3,5085.37366364362,633,0,3325,713,0,1353,217,20,10,1525,794,145,74,139,53,12,Low
P102_Exp5,30,F,1,1,4,2,2,6,1,3182.54622129552,598,203,1859,397,173,1145,320,14,7,955,794,47,160,47,141,12,Low
P102_Exp5,30,F,1,2,5,1,1,5,2,6288.69317456974,2182,390,2330,399,0,705,200,33,10,1887,792,188,212,180,201,12,Low
P102_Exp5,30,F,1,2,6,4,4,8,2,3169.00654882556,890,504,1827,463,0,339,210,13,20,951,792,55,176,49,174,12,Low
P102_Exp5,30,F,1,2,7,2,2,6,3,5061.11668378253,732,475,3008,317,0,882,253,22,14,1519,795,177,198,167,198,12,Low
P102_Exp5,30,F,1,2,8,3,3,7,2,2590.01680619258,177,915,1605,263,0,563,300,10,18,777,791,85,124,85,115,12,Low
P102_Exp5,30,F,1,3,9,2,2,6,1,4639.24542373661,1942,288,1780,770,0,447,223,25,17,1392,791,124,197,116,186,12,Low
P102_Exp5,30,F,1,3,10,4,4,8,2,4904.87072373253,2325,640,1993,629,0,376,270,19,15,1472,792,72,169,48,152,12,Low
P102_Exp5,30,F,1,3,11,3,3,7,2,3623.39751316085,373,709,2646,639,0,131,310,11,28,1087,792,58,203,58,202,12,Low
P102_Exp5,30,F,1,3,12,1,1,5,1,953.414123088805,316,127,403,527,0,883,303,8,11,286,792,41,156,39,156,12,Low
P102_Exp5,30,F,1,4,13,2,2,6,1,6778.0963990208,1831,260,2700,333,0,839,220,42,10,2034,789,297,200,291,196,12,Low
P102_Exp5,30,F,1,4,14,3,3,7,2,6534.06827179515,3958,886,1741,694,0,234,363,24,16,1960,794,123,121,117,108,12,Low
P102_Exp5,30,F,1,4,15,4,4,8,1,2067.34508671707,1043,1121,893,672,0,147,320,4,13,620,793,0,132,0,117,12,Low
P102_Exp5,30,F,1,4,16,1,1,5,1,1715.60842553845,167,349,1321,206,0,0,NA,8,12,515,793,0,509,0,473,12,Low
P102_Exp5,30,F,1,5,17,2,2,6,1,1928.69677559156,220,482,1144,330,0,0,NA,13,16,579,795,56,411,33,393,12,Low
P102_Exp5,30,F,1,5,18,1,1,5,3,11887.6340303414,5955,834,3219,341,0,147,226,57,15,3567,792,331,288,312,285,12,Low
P102_Exp5,30,F,1,5,19,3,3,7,1,1173.98099394177,453,1546,647,336,0,0,NA,4,10,352,792,0,149,0,115,12,Low
P102_Exp5,30,F,1,5,20,4,4,8,1,882.372442111773,347,177,457,1153,0,0,NA,3,16,264,794,0,205,0,197,12,Low
P102_Exp5,30,F,1,6,21,3,3,7,1,10044.1453737749,3540,486,4326,923,0,0,NA,44,12,3014,791,351,267,339,260,12,Low
P102_Exp5,30,F,1,6,22,2,2,6,1,1035.83998320664,476,1076,503,247,0,0,NA,3,16,310,793,0,275,0,262,12,Low
P102_Exp5,30,F,1,6,23,1,1,5,1,822.549822316432,357,197,377,551,0,558,1639,4,15,247,792,0,217,0,202,12,Low
P102_Exp5,30,F,1,6,24,4,4,8,1,697.993710157789,170,1064,426,210,0,116,260,4,18,210,794,7,244,0,217,12,Low
